"id","person","movie_title","rating"
1,"Denilyse","Avengers: Endgame",5
2,"Denilyse","Black Panther",4
3,"Denilyse","Barbie",2
4,"Denilyse","Oppenheimer",0
5,"Denilyse","Jumanji",4
6,"Denilyse","Get Out",3
7,"Machir","Avengers: Endgame",4
8,"Machir","Black Panther",5
9,"Machir","Barbie",2
10,"Machir","Oppenheimer",2
11,"Machir","Jumanji",3
12,"Machir","Get Out",4
13,"Gary","Avengers: Endgame",5
14,"Gary","Black Panther",0
15,"Gary","Barbie",3
16,"Gary","Oppenheimer",2
17,"Gary","Jumanji",4
18,"Gary","Get Out",0
19,"Geokeba","Avengers: Endgame",4
20,"Geokeba","Black Panther",3
21,"Geokeba","Barbie",1
22,"Geokeba","Oppenheimer",3
23,"Geokeba","Jumanji",3
24,"Geokeba","Get Out",2
25,"Nicolae","Avengers: Endgame",5
26,"Nicolae","Black Panther",4
27,"Nicolae","Barbie",3
28,"Nicolae","Oppenheimer",0
29,"Nicolae","Jumanji",4
30,"Nicolae","Get Out",5
